ALPHACODE,PARKNAME
ROCA,Roosevelt Campobello International Park
ROCR,Rock Creek Park
ROLA,Ross Lake NRA
ROMO,Rocky Mountain NP
ROVA,Home of Franklin D. Roosevelt NHS
ROVA,Roosevelt-Vanderbilt Headquarters
ROWI,Roger Williams Nmem
RTCA,"Rivers, Trails, and Conservation Assistance"
RUCA,Russell Cave NM
SAAN,San Antonio Missions NHP
SACN,Saint Croix/Lower St. Croix NSR
SACR,Saint Croix Island International Historic Site
SAFE,Santa Fe NHT
SAFR,San Francisco Maritime NHP
SAGA,Saint-Gaudens NHS
SAGU,Saguaro NP
SAHI,Sagamore Hill NHS
SAIR,Saugus Iron Works NHS
SAJH,San Juan Island NHP
SAJU,San Juan NHS
SAMA,Salem Maritime NHS
SAMO,Santa Monica Mountains NRA
SAPA,Saint Paul's Church NHS
SAPU,Salinas Pueblo Missions NM
SARA,Saratoga NHP
SARI,Salt River Bay NHP & Ecological Pres
SCBL,Scotts Bluff National Monument
SEAC,Southeast Archeological Center
SEBE,Sewall-Belmont House NHS
SEKI,Sequoia and Kings Canyon National Parks
SERO,Southeast Region
SESO,Southeast Support Office
SHEN,Shenandoah NP
SHIC,Shiloh National Cemetery
SHIL,Shiloh NMP
SITK,Sitka NHP
SLBE,Sleeping Bear Dunes NL
SOAR,Southern Arizona Office
SPAR,Springfield Armory NHS
SPCO,Intermountain Spanish Colonial Res. Ctr.
STEA,Steamtown NHS
STLI,Statue of Liberty NM
STMA,Stephen T. Mather Training Center
STRC,Stones River National Cemetery
STRI,Stones River NB
SUCR,Sunset Crater Volcano NM
TAPR,Tallgrass Prairie NPres
THKO,Thaddeus Kosciuszko NMem
THRB,Theodore Roosevelt Birthplace NHS
THRI,Theodore Roosevelt Inaugural NHS
THRO,Theodore Roosevelt NP
THST,Thomas Stone NHS
TICA,Timpanogos Cave NM
TIMU,Timucuan Ecological & Hist Preserve
TONT,Tonto NM
TOSY,Touro Synagogue NHS
TRTE,Trail of Tears NHT
TUAI,Tuskegee Airmen NHS
TUIN,Tuskegee Institute NHS
TUMA,Tumacacori NHP
TUPE,Tupelo NB
TUZI,Tuzigoot NM
ULSG,Ulysses S. Grant NHS
UNST,United States Park Police
UPDE,Upper Delaware Scenic and Recreational River
USAR,U.S.S. Arizona Memorial
VAFO,Valley Forge NHP
VAMA,Vanderbilt Mansion NHS
VICC,Vicksburg National Cemetery
VICK,Vicksburg NMP
VIET,Vietnam Veterans Memorial
VIIS,Virgin Islands NP
VOYA,Voyageurs NP
WABA,Washita Battlefield NHS
WACA,Walnut Canyon NM
WACC,Western Archeological & Conservation Ctr.
WAPA,War in the Pacific NHP
WASH,Washington Monument
WEFA,Weir Farm NHS
WHHO,"White House Liaison, Office of"
WHIS,Whiskeytown-Shasta-Trinity NRA
WHMI,Whitman Mission NHS
WHSA,White Sands NM
WICA,Wind Cave NP
WICR,Wilson's Creek NB
WIHO,William Howard Taft NHS
WORI,Women's Rights NHP
WOTR,Wolf Trap Farm Park for the Performing Arts
WRBR,Wright Brothers NMem
WRST,Wrangell-St Elias NP
WRST,Wrangell-St.Elias NPres
WUPA,Wupatki NM
YELL,Yellowstone NP
YOHO,Yucca House NM
YORK,Yorktown National Cemetery
YOSE,Yosemite NP
YUCH,Yukon-Charley Rivers Npres
ZION,Zion NP
