ParkName,Rank,Value,PercentOfTotal
Rainbow Bridge NM,229,"115,108",0.04%
General Grant NMEM,230,"113,852",0.03%
Lyndon B. Johnson NHP,231,"111,972",0.03%
Waco Mammoth NM,232,"111,331",0.03%
Klondike Gold Rush NHP Seattle,233,"109,799",0.03%
Lava Beds NM,234,"109,630",0.03%
Washington Monument,235,"108,410",0.03%
Sunset Crater Volcano NM,236,"108,379",0.03%
Golden Spike NHP,237,"108,154",0.03%
Steamtown NHS,238,"105,403",0.03%
Andersonville NHS,239,"103,635",0.03%
Christiansted NHS,240,"103,594",0.03%
Timpanogos Cave NM,241,"103,512",0.03%
Pea Ridge NMP,242,"102,753",0.03%
Appomattox Court House NHP,243,"102,397",0.03%
City of Rocks NRES,244,"99,311",0.03%
Tuzigoot NM,245,"98,538",0.03%
Fort Stanwix NM,246,"97,412",0.03%
Manzanar NHS,247,"97,380",0.03%
Ninety Six NHS,248,"97,295",0.03%
Grand Portage NM,249,"94,985",0.03%
Dayton Aviation Heritage NHP,250,"94,709",0.03%
Natural Bridges NM,251,"88,090",0.03%
Katmai NP & PRES,252,"84,167",0.03%
Capulin Volcano NM,253,"81,617",0.02%
Manhattan Project NHP,254,"79,870",0.02%
Dry Tortugas NP,255,"79,200",0.02%
Carl Sandburg Home NHS,256,"78,144",0.02%
Pipestone NM,257,"77,508",0.02%
Florissant Fossil Beds NM,258,"77,340",0.02%
Moores Creek NB,259,"77,006",0.02%
Wrangell-St. Elias NP & PRES,260,"74,518",0.02%
Hamilton Grange NMEM,261,"71,247",0.02%
Kalaupapa NHP,262,"69,401",0.02%
El Morro NM,263,"68,867",0.02%
Casa Grande Ruins NM,264,"68,379",0.02%
Gila Cliff Dwellings NM,265,"66,614",0.02%
Effigy Mounds NM,266,"65,581",0.02%
Oregon Caves NM & PRES,267,"65,006",0.02%
Aztec Ruins NM,268,"63,777",0.02%
Homestead NM of America,269,"61,636",0.02%
Frederick Douglass NHS,270,"61,063",0.02%
Niobrara NSR,271,"60,812",0.02%
Chiricahua NM,272,"60,655",0.02%
Hopewell Culture NHP,273,"60,338",0.02%
National Park of American Samoa,274,"60,006",0.02%
Roger Williams NMEM,275,"59,419",0.02%
Longfellow House Washington's HQ NHS,276,"55,012",0.02%
Cumberland Island NS,277,"53,904",0.02%
Fort Davis NHS,278,"51,995",0.02%
Andrew Johnson NHS,279,"51,189",0.02%
Jimmy Carter NHS,280,"50,789",0.02%
Rosie The Riveter WWII Home Front NHP,281,"50,404",0.02%
Hubbell Trading Post NHS,282,"50,285",0.02%
Navajo NM,283,"49,983",0.02%
Hopewell Furnace NHS,284,"49,861",0.02%
George Washington Carver NM,285,"49,553",0.02%
Whitman Mission NHS,286,"48,481",0.01%
Eleanor Roosevelt NHS,287,"47,630",0.01%
African Burial Ground NM,288,"47,427",0.01%
